snapshot,2035,2040,2045
2019-12-13 23:00:00,90.92859383418916,83.83190284843602,74.31845852174217
2019-12-14 00:00:00,90.43548990969464,83.46092175496628,73.97936163163446
2019-12-14 01:00:00,89.8598362164068,83.2605404714118,73.902997100608
2019-12-14 02:00:00,89.28418252311896,83.06015918785732,73.82663256958155
2019-12-14 03:00:00,88.70852882983112,82.85977790430285,73.75026803855509
2019-12-14 04:00:00,85.5552635343595,82.79320366240842,73.33682816589145
2019-12-14 05:00:00,82.40199823888788,82.726629420514,72.92338829322782
2019-12-14 06:00:00,79.24873294341626,82.66005517861957,72.50994842056417
2019-12-14 07:00:00,64.46881808611569,68.42005953812755,63.68216924977801
2019-12-14 08:00:00,49.688903228815136,54.18006389763552,54.854390078991855
2019-12-14 09:00:00,34.90898837151457,39.94006825714349,46.0266109082057
2019-12-14 10:00:00,33.36424897076232,39.3595749622465,45.35698535586744
2019-12-14 11:00:00,31.819509570010073,38.7790816673495,44.68735980352918
2019-12-14 12:00:00,30.274770169257827,38.19858837245251,44.01773425119092
2019-12-14 13:00:00,30.575968243225766,38.85731378189767,45.13248352798416
2019-12-14 14:00:00,30.877166317193705,39.51603919134284,46.24723280477739
2019-12-14 15:00:00,31.178364391161644,40.174764600788,47.36198208157062
2019-12-14 16:00:00,31.043169205326958,39.80070326519763,46.8654340240989
2019-12-14 17:00:00,30.907974019492276,39.42664192960727,46.36888596662719
2019-12-14 18:00:00,30.77277883365759,39.0525805940169,45.87233790915547
2019-12-14 19:00:00,30.84858476959773,39.06295775749408,45.91472779575743
2019-12-14 20:00:00,30.92439070553787,39.07333492097127,45.95711768235939
2019-12-14 21:00:00,31.00019664147801,39.08371208444845,45.99950756896135
2019-12-14 22:00:00,30.828400482979774,39.33272740563894,46.35309435254437
2019-12-14 23:00:00,30.65660432448154,39.58174272682943,46.70668113612738
2019-12-15 00:00:00,30.484808165983303,39.83075804801992,47.0602679197104
2019-12-15 01:00:00,30.873971323811002,40.21909373298165,47.37565934612394
2019-12-15 02:00:00,31.263134481638705,40.60742941794338,47.69105077253749
2019-12-15 03:00:00,31.652297639466404,40.995765102905104,48.00644219895103
2019-12-15 04:00:00,31.599889137038073,40.76478095743383,47.89991797040727
2019-12-15 05:00:00,31.547480634609744,40.533796811962546,47.793393741863525
2019-12-15 06:00:00,31.495072132181413,40.30281266649127,47.68686951331977
2019-12-15 07:00:00,29.077265942309335,35.440584734638385,45.85808406216022
2019-12-15 08:00:00,26.659459752437257,30.578356802785496,44.02929861100067
2019-12-15 09:00:00,24.24165356256518,25.71612887093261,42.20051315984112
2019-12-15 10:00:00,26.426301219043975,29.756630778928916,43.216495089204486
2019-12-15 11:00:00,28.610948875522766,33.797132686925224,44.23247701856785
2019-12-15 12:00:00,30.79559653200156,37.83763459492153,45.24845894793121
2019-12-15 13:00:00,36.70445156724443,43.86501597478893,49.018164119753166
2019-12-15 14:00:00,42.6133066024873,49.89239735465634,52.78786929157513
2019-12-15 15:00:00,48.52216163773017,55.91977873452374,56.55757446339708
2019-12-15 16:00:00,53.55090923551536,56.823991814568366,56.52799704431691
2019-12-15 17:00:00,58.57965683330056,57.728204894613,56.49841962523674
2019-12-15 18:00:00,63.60840443108575,58.63241797465763,56.46884220615657
2019-12-15 19:00:00,64.5092034060839,59.165289940472874,56.80017819308863
2019-12-15 20:00:00,65.41000238108205,59.69816190628812,57.13151418002069
2019-12-15 21:00:00,66.3108013560802,60.23103387210337,57.46285016695274
2019-12-15 22:00:00,67.00422819384494,60.907775554018784,58.41844194572023
2019-12-15 23:00:00,67.69765503160967,61.58451723593419,59.374033724487724
2019-12-16 00:00:00,68.3910818693744,62.26125891784961,60.329625503255215
2019-12-16 01:00:00,71.6404226104187,65.10859302707746,63.263286760691024
2019-12-16 02:00:00,74.889763351463,67.95592713630532,66.19694801812683
2019-12-16 03:00:00,78.1391040925073,70.80326124553318,69.13060927556265
2019-12-16 04:00:00,79.79192733881696,72.68182190114624,69.98242133546054
2019-12-16 05:00:00,81.44475058512663,74.56038255675931,70.83423339535844
2019-12-16 06:00:00,83.09757383143629,76.43894321237237,71.68604545525633
2019-12-16 07:00:00,82.80302598832826,76.33068088959612,71.44528078844482
2019-12-16 08:00:00,82.50847814522021,76.22241856681987,71.20451612163329
2019-12-16 09:00:00,82.21393030211217,76.11415624404363,70.96375145482178
2019-12-16 10:00:00,83.51871320341584,77.01392550001798,71.38856268136048
2019-12-16 11:00:00,84.82349610471951,77.91369475599234,71.81337390789919
2019-12-16 12:00:00,86.12827900602318,78.81346401196669,72.2381851344379
2019-12-16 13:00:00,90.81617359507747,79.87827624470826,73.95397141188312
2019-12-16 14:00:00,95.50406818413178,80.94308847744985,75.66975768932835
2019-12-16 15:00:00,100.19196277318608,82.00790071019142,77.38554396677357
2019-12-16 16:00:00,102.39277414531922,82.5051754797533,78.32828040833508
2019-12-16 17:00:00,104.59358551745237,83.00245024931517,79.27101684989657
2019-12-16 18:00:00,106.79439688958551,83.49972501887706,80.21375329145808
2019-12-16 19:00:00,108.06425689299888,84.18123871083613,81.03770939154305
2019-12-16 20:00:00,109.33411689641227,84.8627524027952,81.861665491628
2019-12-16 21:00:00,110.60397689982564,85.54426609475426,82.68562159171297
2019-12-16 22:00:00,110.95910871176238,85.61024379846549,82.81015697264175
2019-12-16 23:00:00,111.31424052369911,85.6762215021767,82.93469235357053
2019-12-17 00:00:00,111.66937233563586,85.74219920588793,83.0592277344993
2019-12-17 01:00:00,111.67528646278431,85.72512570980699,82.9358789553306
2019-12-17 02:00:00,111.68120058993279,85.70805221372603,82.81253017616187
2019-12-17 03:00:00,111.68711471708124,85.6909787176451,82.68918139699316
2019-12-17 04:00:00,111.03248113562354,85.4278751919775,82.40156736811925
2019-12-17 05:00:00,110.37784755416583,85.16477166630993,82.11395333924531
2019-12-17 06:00:00,109.72321397270812,84.90166814064234,81.8263393103714
2019-12-17 07:00:00,103.24162530795378,82.9733454462904,79.46433922327478
2019-12-17 08:00:00,96.76003664319943,81.04502275193843,77.10233913617817
2019-12-17 09:00:00,90.27844797844509,79.11670005758648,74.74033904908156
2019-12-17 10:00:00,90.57163326151198,79.09554417880975,74.83959808452418
2019-12-17 11:00:00,90.86481854457885,79.07438830003302,74.9388571199668
2019-12-17 12:00:00,91.15800382764574,79.05323242125628,75.03811615540943
2019-12-17 13:00:00,92.64231001437825,79.50417432941643,75.42429052973097
2019-12-17 14:00:00,94.12661620111075,79.95511623757659,75.8104649040525
2019-12-17 15:00:00,95.61092238784326,80.40605814573674,76.19663927837404
2019-12-17 16:00:00,94.95385491824337,79.97782738157942,75.90191590132108
2019-12-17 17:00:00,94.29678744864346,79.5495966174221,75.6071925242681
2019-12-17 18:00:00,93.63971997904356,79.12136585326478,75.31246914721514
2019-12-17 19:00:00,92.55837455977489,78.63014713727505,74.76761571600488
2019-12-17 20:00:00,91.47702914050623,78.13892842128533,74.22276228479463
2019-12-17 21:00:00,90.39568372123756,77.6477097052956,73.67790885358437
2019-12-17 22:00:00,89.68501594040426,77.07901112392942,73.26626631432686
2019-12-17 23:00:00,88.97434815957097,76.51031254256323,72.85462377506933
2019-12-18 00:00:00,88.26368037873766,75.94161396119705,72.44298123581181
2019-12-18 01:00:00,88.03906253033253,75.49313931306325,72.2335455418367
2019-12-18 02:00:00,87.8144446819274,75.04466466492946,72.02410984786161
2019-12-18 03:00:00,87.58982683352227,74.59619001679566,71.8146741538865
2019-12-18 04:00:00,88.0561281082374,75.69116800174072,71.75267232818996
2019-12-18 05:00:00,88.52242938295254,76.7861459866858,71.69067050249343
2019-12-18 06:00:00,88.98873065766767,77.88112397163086,71.62866867679689
2019-12-18 07:00:00,87.42745092683661,77.66230604786108,71.89079422743046
2019-12-18 08:00:00,85.86617119600554,77.44348812409129,72.15291977806405
2019-12-18 09:00:00,84.30489146517448,77.22467020032151,72.41504532869762
2019-12-18 10:00:00,85.49607506506233,78.2225129141284,73.00245201528007
2019-12-18 11:00:00,86.68725866495019,79.2203556279353,73.58985870186252
2019-12-18 12:00:00,87.87844226483804,80.2181983417422,74.17726538844498
2019-12-18 13:00:00,93.08785603608158,81.03412752388415,75.34219598043457
2019-12-18 14:00:00,98.29726980732511,81.85005670602611,76.50712657242417
2019-12-18 15:00:00,103.50668357856864,82.66598588816807,77.67205716441376
2019-12-18 16:00:00,101.12025503153976,82.41273343018827,77.01420849485379
2019-12-18 17:00:00,98.73382648451089,82.15948097220847,76.35635982529381
2019-12-18 18:00:00,96.347397937482,81.90622851422867,75.69851115573384
2019-12-18 19:00:00,92.31713605503168,80.02386434186403,74.09342345683463
2019-12-18 20:00:00,88.28687417258135,78.14150016949938,72.48833575793542
2019-12-18 21:00:00,84.25661229013103,76.25913599713473,70.8832480590362
2019-12-18 22:00:00,83.01093742449356,75.83580723966026,70.6040720702531
2019-12-18 23:00:00,81.76526255885611,75.41247848218576,70.32489608146997
2019-12-19 00:00:00,80.51958769321864,74.98914972471128,70.04572009268686
2019-12-19 01:00:00,80.62298328748274,74.90569915350576,70.04929682048726
2019-12-19 02:00:00,80.72637888174684,74.82224858230023,70.05287354828765
2019-12-19 03:00:00,80.82977447601094,74.73879801109472,70.05645027608804
2019-12-19 04:00:00,80.12975345143607,74.68087343278688,69.97753705115527
2019-12-19 05:00:00,79.4297324268612,74.62294885447903,69.89862382622248
2019-12-19 06:00:00,78.72971140228633,74.5650242761712,69.8197106012897
2019-12-19 07:00:00,68.2118122647255,68.35277403091439,66.86730017736713
2019-12-19 08:00:00,57.69391312716465,62.14052378565758,63.91488975344456
2019-12-19 09:00:00,47.17601398960382,55.92827354040076,60.96247932952199
2019-12-19 10:00:00,50.62979215368087,57.65333171885823,61.81411625162608
2019-12-19 11:00:00,54.08357031775792,59.37838989731571,62.665753173730174
2019-12-19 12:00:00,57.53734848183497,61.10344807577318,63.517390095834266
2019-12-19 13:00:00,60.922423248166716,62.48748102911784,63.6436474501061
2019-12-19 14:00:00,64.30749801449846,63.87151398246249,63.76990480437793
2019-12-19 15:00:00,67.69257278083022,65.25554693580715,63.896162158649766
2019-12-19 16:00:00,67.2900063289435,64.83553861122697,63.880932587341576
2019-12-19 17:00:00,66.8874398770568,64.41553028664678,63.86570301603339
2019-12-19 18:00:00,66.4848734251701,63.99552196206661,63.8504734447252
